passed|latency|params
True|139.51855977376303|{'test_var': 'latency', 'bs': 2, 'dataset': 'imagenet', 'net_name': 'googlenet', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_45.py'}
True|163.5900115966797|{'test_var': 'latency', 'bs': 4, 'dataset': 'imagenet', 'net_name': 'googlenet', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_45.py'}
True|267.0457356770833|{'test_var': 'latency', 'bs': 8, 'dataset': 'imagenet', 'net_name': 'googlenet', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_45.py'}
True|454.43804931640625|{'test_var': 'latency', 'bs': 16, 'dataset': 'imagenet', 'net_name': 'googlenet', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_45.py'}
True|863.4884033203125|{'test_var': 'latency', 'bs': 32, 'dataset': 'imagenet', 'net_name': 'googlenet', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_45.py'}
True|1704.4997965494792|{'test_var': 'latency', 'bs': 64, 'dataset': 'imagenet', 'net_name': 'googlenet', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_45.py'}
True|1892.6497802734375|{'test_var': 'latency', 'bs': 70, 'dataset': 'imagenet', 'net_name': 'googlenet', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_45.py'}
True|2154.1112467447915|{'test_var': 'latency', 'bs': 80, 'dataset': 'imagenet', 'net_name': 'googlenet', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_45.py'}
True|2441.1720377604165|{'test_var': 'latency', 'bs': 90, 'dataset': 'imagenet', 'net_name': 'googlenet', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_45.py'}
True|2686.9278971354165|{'test_var': 'latency', 'bs': 100, 'dataset': 'imagenet', 'net_name': 'googlenet', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_45.py'}
True|2989.0494791666665|{'test_var': 'latency', 'bs': 110, 'dataset': 'imagenet', 'net_name': 'googlenet', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_45.py'}
True|3622.6315104166665|{'test_var': 'latency', 'bs': 128, 'dataset': 'imagenet', 'net_name': 'googlenet', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_45.py'}
False|None|{'test_var': 'latency', 'bs': 140, 'dataset': 'imagenet', 'net_name': 'googlenet', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_45.py'}
False|None|{'test_var': 'latency', 'bs': 150, 'dataset': 'imagenet', 'net_name': 'googlenet', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_45.py'}
False|None|{'test_var': 'latency', 'bs': 160, 'dataset': 'imagenet', 'net_name': 'googlenet', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_45.py'}
False|None|{'test_var': 'latency', 'bs': 170, 'dataset': 'imagenet', 'net_name': 'googlenet', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_45.py'}
False|None|{'test_var': 'latency', 'bs': 180, 'dataset': 'imagenet', 'net_name': 'googlenet', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_45.py'}
False|None|{'test_var': 'latency', 'bs': 190, 'dataset': 'imagenet', 'net_name': 'googlenet', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_45.py'}
False|None|{'test_var': 'latency', 'bs': 200, 'dataset': 'imagenet', 'net_name': 'googlenet', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_45.py'}
False|None|{'test_var': 'latency', 'bs': 210, 'dataset': 'imagenet', 'net_name': 'googlenet', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_45.py'}
False|None|{'test_var': 'latency', 'bs': 220, 'dataset': 'imagenet', 'net_name': 'googlenet', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_45.py'}
False|None|{'test_var': 'latency', 'bs': 240, 'dataset': 'imagenet', 'net_name': 'googlenet', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_45.py'}
False|None|{'test_var': 'latency', 'bs': 256, 'dataset': 'imagenet', 'net_name': 'googlenet', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_45.py'}
