passed|mem_alloc|mem_reserved|mem_used|mem_avail|free|capacity|test_var|bs|dataset|net_name|model
True|78.22600325520827|87.8306666666666|1631.0|7088.83203125|4180.0|7859.0|memory|2|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_65.py
True|124.38751627604215|132.58266666666668|1631.0|7088.6640625|4180.0|7859.0|memory|4|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_65.py
True|224.5325944010422|313.9840000000003|1703.6|7088.89453125|4180.0|7859.0|memory|8|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_65.py
True|445.7966542968766|509.996000000001|1944.0|7088.421875|4179.0|7859.0|memory|16|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_65.py
True|896.1801513671885|1140.7880000000011|2486.8|7088.30859375|4178.0|7859.0|memory|32|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_65.py
True|1711.6427972005129|2325.046666666671|3290.8|7170.4921875|5269.0|7859.0|memory|64|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_65.py
True|1917.3831298828118|2491.4040000000055|3633.2|7175.3828125|5300.0|7859.0|memory|70|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_65.py
True|2143.22302050781|2858.005333333336|3924.2|7182.203125|5287.0|7859.0|memory|80|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_65.py
True|2421.419960286458|3231.677333333334|4362.0|7190.8203125|5344.0|7859.0|memory|90|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_65.py
True|2660.791848958336|3705.381333333317|4607.8|7187.5078125|5257.0|7859.0|memory|100|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_65.py
True|2955.6760670572853|3963.004000000002|4918.8|7189.05859375|5479.0|7859.0|memory|110|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_65.py
True|3428.028747395831|4655.465333333328|5678.0|7187.5|5961.0|7859.0|memory|128|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_65.py
True|3728.164129231774|5178.830666666658|6147.8|7188.07421875|5976.0|7859.0|memory|140|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_65.py
True|3982.61987272135|5616.059999999986|6111.2|7187.046875|5982.0|7859.0|memory|150|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_65.py
True|4221.342233398418|5756.731999999992|6187.4|7196.375|6037.0|7859.0|memory|160|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_65.py
True|4243.593993164047|5957.103999999995|6198.0|7186.25390625|6021.0|7859.0|memory|170|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_65.py
False|4241.25650944009|5969.391999999991|560.484375|7186.515625|6016.0|7859.0|memory|180|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_65.py
False|4251.761053710926|5975.917333333321|559.5078125|7200.4921875|6049.0|7859.0|memory|190|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_65.py
False|4273.1911083984305|5984.621333333317|544.0859375|7197.9140625|6610.0|7859.0|memory|200|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_65.py
False|4287.480503255202|5987.6279999999815|554.48828125|7194.51171875|6023.0|7859.0|memory|210|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_65.py
False|4311.050144205726|5992.682666666646|554.30859375|7197.69140625|6031.0|7859.0|memory|220|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_65.py
False|4318.817736002603|5991.7786666666425|571.6015625|7190.3984375|6015.0|7859.0|memory|230|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_65.py
False|4325.26675358073|5985.689333333309|563.96875|7198.03125|6035.0|7859.0|memory|240|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_65.py
False|4320.5827073567725|5972.421333333309|565.45703125|7196.54296875|6035.0|7859.0|memory|256|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_65.py
