passed|mem_alloc|mem_reserved|mem_used|mem_avail|free|capacity|test_var|bs|dataset|net_name|model
True|48.73537695312513|64.4506666666669|1630.0|7088.48046875|4180.0|7859.0|memory|2|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_70.py
True|94.8608736979168|110.5186666666667|1634.0|7086.3515625|4177.0|7859.0|memory|4|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_70.py
True|165.98189127604178|203.31733333333324|1667.0|7086.48828125|4177.0|7859.0|memory|8|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_70.py
True|301.98002636718786|384.7280000000009|1906.8|7086.4765625|4177.0|7859.0|memory|16|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_70.py
True|571.6663300781252|799.2306666666665|2453.0|7086.27734375|4176.0|7859.0|memory|32|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_70.py
True|1194.597445963539|1474.3039999999994|3298.0|7168.578125|5267.0|7859.0|memory|64|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_70.py
True|1323.4959013671846|1615.3013333333322|3455.2|7176.2109375|5301.0|7859.0|memory|70|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_70.py
True|1508.6613929036437|1854.9759999999962|3834.4|7181.01953125|5285.0|7859.0|memory|80|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_70.py
True|1710.4118932291651|2055.7906666666645|4172.4|7187.15625|5341.0|7859.0|memory|90|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_70.py
True|1864.1923414713524|2402.9066666666677|4456.6|7189.5703125|5259.0|7859.0|memory|100|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_70.py
True|2063.0922903645837|2776.0320000000024|4927.6|7189.703125|5055.0|7859.0|memory|110|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_70.py
True|2478.584904296876|3005.2173333333317|5552.8|7190.890625|5581.0|7859.0|memory|128|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_70.py
True|2795.1336842447945|3204.40533333333|6067.0|7201.34765625|5987.0|7859.0|memory|140|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_70.py
True|2993.5542932942744|3560.086666666663|6192.4|7191.2890625|5969.0|7859.0|memory|150|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_70.py
True|3165.8031637369804|3904.1466666666697|6188.0|7200.4765625|5995.0|7859.0|memory|160|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_70.py
True|3338.7902919921867|4154.968000000009|6163.8|7193.90234375|5969.0|7859.0|memory|170|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_70.py
False|3503.1777721354124|4256.096000000009|543.33203125|7194.66796875|6026.0|7859.0|memory|180|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_70.py
False|3637.7444069010344|4558.126666666679|553.59765625|7197.40234375|6036.0|7859.0|memory|190|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_70.py
False|3772.4434892578065|4772.3693333333395|545.578125|7193.421875|6037.0|7859.0|memory|200|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_70.py
False|3890.0081184895785|5094.402666666672|567.78125|7200.21875|6046.0|7859.0|memory|210|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_70.py
False|4000.9936868489526|5315.756000000007|560.4375|7191.5625|6038.0|7859.0|memory|220|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_70.py
False|4112.040915690096|5500.486666666675|557.8515625|7192.1484375|6030.0|7859.0|memory|230|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_70.py
False|4190.982833658849|5583.202666666673|552.4765625|7198.5234375|6041.0|7859.0|memory|240|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_70.py
False|4290.062985677079|5644.408000000004|568.09765625|7193.90234375|6035.0|7859.0|memory|256|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_70.py
