passed|mem_alloc|mem_reserved|mem_used|mem_avail|free|capacity|test_var|bs|dataset|net_name|model
True|53.78246582031252|74.03200000000014|1632.0|7091.04296875|4182.0|7859.0|memory|2|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_80.py
True|109.30723307291659|119.91466666666675|1630.0|7088.3984375|4179.0|7859.0|memory|4|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_80.py
True|188.6892034505213|207.41066666666674|1636.0|7086.37890625|4177.0|7859.0|memory|8|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_80.py
True|317.95788411458375|433.6973333333348|1855.4|7086.921875|4177.0|7859.0|memory|16|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_80.py
True|638.498541341147|774.3666666666672|2296.4|7088.0625|4178.0|7859.0|memory|32|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_80.py
True|1312.2408004557306|1644.784000000001|2946.4|7168.6640625|5267.0|7859.0|memory|64|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_80.py
True|1438.8157366536468|1786.8213333333358|3158.6|7175.8359375|5300.0|7859.0|memory|70|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_80.py
True|1608.652644205723|2163.2773333333366|3414.4|7180.61328125|5284.0|7859.0|memory|80|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_80.py
True|1807.6109293619756|2336.334666666668|3753.2|7189.3125|5342.0|7859.0|memory|90|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_80.py
True|2011.693669921875|2636.9840000000045|4060.6|7189.828125|5251.0|7859.0|memory|100|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_80.py
True|2226.289508463538|2944.7359999999926|4341.2|7188.50390625|5076.0|7859.0|memory|110|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_80.py
True|2586.4678121744814|3350.243999999999|4837.0|7189.33203125|5161.0|7859.0|memory|128|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_80.py
True|2822.0760680338562|3716.470666666659|5185.4|7191.46484375|5092.0|7859.0|memory|140|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_80.py
True|3030.0179329427115|3913.8959999999993|5418.8|7188.60546875|5380.0|7859.0|memory|150|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_80.py
True|3212.4022802734357|4401.602666666681|5704.4|7192.41796875|5548.0|7859.0|memory|160|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_80.py
True|3420.052282877596|4604.548000000001|6015.4|7188.359375|5861.0|7859.0|memory|170|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_80.py
True|3589.3592682291574|4942.029333333345|6184.0|7194.3046875|5983.0|7859.0|memory|180|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_80.py
True|3832.3369378255247|5318.915999999987|6191.0|7191.76953125|5988.0|7859.0|memory|190|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_80.py
True|4003.124833007808|5628.68266666665|6170.4|7185.703125|5989.0|7859.0|memory|200|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_80.py
True|4196.05544075519|5807.309333333345|6221.2|7193.70703125|5979.0|7859.0|memory|210|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_80.py
False|4336.969577799473|5869.082666666668|540.06640625|7196.93359375|6034.0|7859.0|memory|220|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_80.py
False|4386.0324287109315|5921.406666666664|540.9375|7198.0625|6024.0|7859.0|memory|230|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_80.py
False|4387.647884440098|5920.30933333333|557.609375|7189.390625|6035.0|7859.0|memory|240|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_80.py
False|4388.988586588536|5919.747999999997|553.640625|7189.359375|6042.0|7859.0|memory|256|imagenet|googlenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/googlenet_80.py
