passed|mem_alloc|mem_reserved|mem_used|mem_avail|free|capacity|test_var|bs|dataset|net_name|model
True|139.09552213541653|148.6320000000007|1629.0|7175.32421875|4985.0|7859.0|memory|2|imagenet|resnet18|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_20.py
True|181.28060709635363|226.83199999999894|1627.0|7174.3125|4980.0|7859.0|memory|4|imagenet|resnet18|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_20.py
True|267.5608388671874|365.89866666666535|1629.6|7174.75390625|4980.0|7859.0|memory|8|imagenet|resnet18|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_20.py
True|404.36075032551986|571.6879999999996|1813.6|7173.95703125|4978.0|7859.0|memory|16|imagenet|resnet18|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_20.py
True|693.0934999999989|1076.8013333333347|2408.4|7174.28515625|4978.0|7859.0|memory|32|imagenet|resnet18|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_20.py
True|1324.7003958333398|2727.2453333333315|3555.4|7169.421875|4963.0|7859.0|memory|64|imagenet|resnet18|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_20.py
True|1427.185659505208|2740.57333333333|3965.0|7168.11328125|4962.0|7859.0|memory|70|imagenet|resnet18|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_20.py
True|1629.3707812500058|2840.8546666666657|3979.0|7167.796875|4959.0|7859.0|memory|80|imagenet|resnet18|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_20.py
True|1807.662977213549|3485.9519999999943|4489.0|7236.44921875|5448.0|7859.0|memory|90|imagenet|resnet18|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_20.py
True|1998.7154228515617|3889.4706666666666|4521.6|7230.41015625|5411.0|7859.0|memory|100|imagenet|resnet18|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_20.py
True|2183.7825081380183|4337.652000000005|4968.2|7236.421875|5777.0|7859.0|memory|110|imagenet|resnet18|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_20.py
True|2372.9669951171786|4420.36666666666|5229.4|7226.89453125|5999.0|7859.0|memory|120|imagenet|resnet18|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_20.py
True|2519.736486653636|4604.787999999995|5492.6|7239.3828125|6018.0|7859.0|memory|128|imagenet|resnet18|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_20.py
True|2769.946765950514|5159.602666666677|6054.0|7233.27734375|6072.0|7859.0|memory|140|imagenet|resnet18|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_20.py
True|2934.189762695326|5038.434666666669|6158.6|7243.1484375|6067.0|7859.0|memory|150|imagenet|resnet18|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_20.py
True|3009.1134003906327|4983.498666666665|6140.6|7232.140625|6059.0|7859.0|memory|160|imagenet|resnet18|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_20.py
True|3166.995125325522|5262.867999999996|6145.4|7245.89453125|6087.0|7859.0|memory|170|imagenet|resnet18|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_20.py
False|3380.4020325520783|5255.231999999997|493.2734375|7246.7265625|6091.0|7859.0|memory|180|imagenet|resnet18|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_20.py
