passed|mem_alloc|mem_reserved|mem_used|mem_avail|free|capacity|test_var|bs|dataset|net_name|model
True|116.30327278645835|142.2653333333332|1628.6|7123.98828125|4783.0|7859.0|memory|2|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_80.py
True|184.4390364583329|228.95599999999962|1630.0|7123.44921875|4782.0|7859.0|memory|4|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_80.py
True|289.2298531901044|382.15466666666697|1756.4|7123.46484375|4782.0|7859.0|memory|8|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_80.py
True|525.017223307291|742.2919999999991|2082.2|7121.14453125|4779.0|7859.0|memory|16|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_80.py
True|1032.2223463541657|1499.3386666666654|2477.2|7138.21484375|4854.0|7859.0|memory|32|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_80.py
True|2043.8061699218738|2982.0866666666666|4338.0|7209.3671875|5367.0|7859.0|memory|64|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_80.py
True|2249.003058593748|3205.0853333333316|4675.0|7207.7734375|5345.0|7859.0|memory|70|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_80.py
True|2600.902027669268|3612.800000000003|5112.4|7215.1015625|5337.0|7859.0|memory|80|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_80.py
True|2846.0343479817693|4180.722666666672|5654.0|7221.609375|5614.0|7859.0|memory|90|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_80.py
True|3111.5255820312527|4575.565333333342|5920.6|7213.60546875|5973.0|7859.0|memory|100|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_80.py
True|3798.174531901041|5281.7826666666715|6180.2|7216.76171875|6014.0|7859.0|memory|120|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_80.py
False|4030.693229817704|5584.18000000001|505.7734375|7217.2265625|6066.0|7859.0|memory|128|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_80.py
False|4357.675041015615|5811.955999999992|524.7734375|7217.2265625|6050.0|7859.0|memory|140|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_80.py
False|4574.718549153636|5826.862666666655|532.7578125|7215.2421875|6055.0|7859.0|memory|150|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_80.py
False|4637.448334960926|5836.065333333323|532.02734375|7213.97265625|6045.0|7859.0|memory|160|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_80.py
False|4637.448334960926|5837.758666666656|565.6875|7203.3125|6040.0|7859.0|memory|170|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_80.py
False|4637.448334960926|5837.793333333322|538.4921875|7217.5078125|6062.0|7859.0|memory|180|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_80.py
False|4637.448334960926|5832.633333333323|535.421875|7211.578125|6047.0|7859.0|memory|190|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_80.py
False|4637.448334960926|5830.406666666657|559.80078125|7198.19921875|6026.0|7859.0|memory|200|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_80.py
False|4637.448334960926|5826.463999999991|552.46875|7209.53125|6051.0|7859.0|memory|210|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_80.py
False|4637.475290039052|5826.533333333324|545.89453125|7214.10546875|6055.0|7859.0|memory|220|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_80.py
False|4637.475290039052|5828.330666666658|549.86328125|7205.13671875|6029.0|7859.0|memory|230|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_80.py
False|4639.82397688801|5828.362666666658|538.84375|7212.15625|6051.0|7859.0|memory|240|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_80.py
False|4639.82397688801|5824.845333333325|535.73828125|7210.26171875|6060.0|7859.0|memory|256|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_80.py
