passed|mem_alloc|mem_reserved|mem_used|mem_avail|free|capacity|test_var|bs|dataset|net_name|model
True|126.31755631510426|139.02000000000018|1630.0|7123.3125|4782.0|7859.0|memory|2|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_85.py
True|203.10237662760437|237.63733333333357|1634.6|7123.484375|4782.0|7859.0|memory|4|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_85.py
True|328.609920898437|406.31200000000126|1759.6|7123.67578125|4782.0|7859.0|memory|8|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_85.py
True|573.9847688802076|679.8746666666693|2046.4|7123.234375|4781.0|7859.0|memory|16|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_85.py
True|1048.9878974609342|1289.6733333333336|2473.8|7138.32421875|4854.0|7859.0|memory|32|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_85.py
True|1984.9087363281292|2868.3853333333423|4083.0|7209.44140625|5367.0|7859.0|memory|64|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_85.py
True|2197.944655273441|3070.02933333334|4198.6|7210.44140625|5342.0|7859.0|memory|70|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_85.py
True|2502.284445963542|3611.7679999999964|4732.2|7210.90625|5331.0|7859.0|memory|80|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_85.py
True|2807.139131510407|3901.978666666669|5070.2|7205.265625|5622.0|7859.0|memory|90|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_85.py
True|3122.8246725260487|4250.746666666679|5230.6|7214.69140625|5853.0|7859.0|memory|100|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_85.py
True|3680.045461914051|5260.849333333357|6098.4|7208.91796875|5995.0|7859.0|memory|120|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_85.py
True|3917.660621419269|5408.254666666678|6189.4|7223.5390625|6068.0|7859.0|memory|128|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_85.py
True|4303.038050781254|5764.779999999989|6229.2|7213.61328125|6059.0|7859.0|memory|140|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_85.py
False|4548.115011067705|5824.351999999992|533.5859375|7215.4140625|6055.0|7859.0|memory|150|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_85.py
False|4621.661750976558|5837.743999999987|534.90234375|7217.09765625|6064.0|7859.0|memory|160|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_85.py
False|4632.635388671871|5792.633333333319|535.015625|7214.984375|6059.0|7859.0|memory|170|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_85.py
False|4631.493739257808|5732.37866666665|545.62890625|7211.37109375|6056.0|7859.0|memory|180|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_85.py
False|4631.113189453121|5699.359999999982|560.06640625|7203.93359375|6032.0|7859.0|memory|190|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_85.py
False|4630.3520898437455|5655.081333333315|537.7890625|7216.2109375|6060.0|7859.0|memory|200|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_85.py
False|4629.210440429683|5641.859999999982|549.7578125|7204.2421875|6048.0|7859.0|memory|210|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_85.py
False|4626.927141601559|5617.3999999999805|551.80859375|7206.19140625|6046.0|7859.0|memory|220|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_85.py
False|4625.785492187496|5598.4039999999795|553.69921875|7210.30078125|6049.0|7859.0|memory|230|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_85.py
False|4624.655608398433|5574.978666666646|557.70703125|7210.29296875|6042.0|7859.0|memory|240|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_85.py
False|4624.236337890622|5549.959999999979|558.50390625|7198.49609375|6027.0|7859.0|memory|256|imagenet|resnet50|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet50_85.py
