passed|mem_alloc|mem_reserved|mem_used|mem_avail|free|capacity|test_var|bs|dataset|net_name|model
True|48.48713216145856|65.78800000000015|1428.0|7171.5859375|4757.0|7859.0|memory|2|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_40.py
True|102.46208365885444|132.66400000000007|1429.0|7170.49609375|4755.0|7859.0|memory|4|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_40.py
True|175.7240878906252|239.0399999999995|1491.4|7172.08984375|4757.0|7859.0|memory|8|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_40.py
True|317.57172493489514|561.0413333333317|1888.4|7172.46484375|4757.0|7859.0|memory|16|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_40.py
True|648.37695279948|1155.4773333333333|2409.2|7172.75|4757.0|7859.0|memory|32|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_40.py
True|1243.9579208984355|2475.306666666675|3844.4|7172.00390625|4756.0|7859.0|memory|64|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_40.py
True|1341.3765839843725|2626.8093333333445|4033.4|7171.9765625|4755.0|7859.0|memory|70|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_40.py
True|1551.3416116536382|3036.239999999992|3975.6|7177.25|4844.0|7859.0|memory|80|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_40.py
True|1726.9791695963568|3419.329333333333|4315.2|7179.2109375|5220.0|7859.0|memory|90|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_40.py
True|1910.2894788411431|3807.9426666666654|4766.6|7234.3359375|5495.0|7859.0|memory|100|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_40.py
True|2058.9661321614585|4136.806666666663|5175.0|7241.0859375|5436.0|7859.0|memory|110|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_40.py
True|2250.9509410807295|4530.506666666683|5348.4|7251.9375|5489.0|7859.0|memory|120|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_40.py
True|2421.3227246093647|4952.769333333356|5700.6|7253.375|6047.0|7859.0|memory|128|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_40.py
True|2661.9016914062527|5243.777333333351|6080.4|7232.88671875|5996.0|7859.0|memory|140|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_40.py
True|2799.2901787109427|5657.850666666673|6251.8|7239.16796875|6039.0|7859.0|memory|150|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_40.py
True|2999.7248802083373|6092.986666666679|6241.2|7248.30859375|6092.0|7859.0|memory|160|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_40.py
False|3114.54802506511|6108.8960000000125|509.578125|7250.421875|6094.0|7859.0|memory|170|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_40.py
False|3247.8917561849016|5961.779999999999|505.37890625|7250.62109375|6088.0|7859.0|memory|180|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_40.py
False|3414.0992802734454|5908.554666666663|486.73046875|7243.26953125|6084.0|7859.0|memory|190|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_40.py
False|3531.509781575528|5889.594666666662|492.92578125|7247.07421875|6084.0|7859.0|memory|200|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_40.py
False|3646.897717447924|5855.010666666661|500.140625|7246.859375|6091.0|7859.0|memory|210|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_40.py
False|3756.667548828132|5852.330666666661|491.51171875|7248.48828125|6093.0|7859.0|memory|220|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_40.py
