passed|mem_alloc|mem_reserved|mem_used|mem_avail|free|capacity|test_var|bs|dataset|net_name|model
True|31.775836588541836|52.13333333333361|1430.0|7170.24609375|4755.0|7859.0|memory|2|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_65.py
True|63.78399511718774|86.25200000000045|1427.2|7170.8984375|4756.0|7859.0|memory|4|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_65.py
True|115.20895865885369|141.37599999999995|1429.6|7172.9375|4757.0|7859.0|memory|8|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_65.py
True|218.1424934895824|328.34399999999846|1688.2|7172.7578125|4757.0|7859.0|memory|16|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_65.py
True|425.89479687500085|727.7386666666658|2057.2|7170.50390625|4755.0|7859.0|memory|32|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_65.py
True|877.4899082031278|1426.8826666666653|2698.2|7172.078125|4756.0|7859.0|memory|64|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_65.py
True|978.7448144531254|1568.3013333333336|2792.6|7171.8046875|4755.0|7859.0|memory|70|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_65.py
True|1114.5145156249982|1906.226666666665|2726.0|7178.94921875|4846.0|7859.0|memory|80|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_65.py
True|1241.73343489583|2199.3039999999996|2905.8|7181.0|5221.0|7859.0|memory|90|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_65.py
True|1348.9753111979135|2527.9000000000087|3023.6|7231.69140625|5490.0|7859.0|memory|100|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_65.py
True|1514.2458557942632|2768.6093333333406|3225.4|7241.53125|5430.0|7859.0|memory|110|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_65.py
True|1605.6065016275957|3060.9280000000026|3403.8|7238.5078125|5449.0|7859.0|memory|120|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_65.py
True|1678.646570638012|3335.221333333331|3555.4|7238.12890625|5363.0|7859.0|memory|128|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_65.py
True|1847.3115657552025|3619.642666666663|3851.2|7235.72265625|5227.0|7859.0|memory|140|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_65.py
True|2000.0147112630118|3759.3026666666583|4060.8|7237.1796875|5061.0|7859.0|memory|150|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_65.py
True|2144.4142327473855|3998.362666666667|4219.0|7242.5703125|5422.0|7859.0|memory|160|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_65.py
True|2251.91826595051|4460.389333333354|4469.4|7237.76171875|5485.0|7859.0|memory|170|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_65.py
True|2359.273052734363|4550.16400000002|4637.8|7234.39453125|5714.0|7859.0|memory|180|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_65.py
True|2462.8536699218616|4923.436000000027|5057.8|7235.52734375|5844.0|7859.0|memory|190|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_65.py
True|2646.766041666656|5150.222666666693|5101.6|7234.5|6014.0|7859.0|memory|200|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_65.py
True|2774.226569010404|5346.276000000027|5495.6|7240.875|6037.0|7859.0|memory|210|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_65.py
True|2902.9269036458213|5685.650666666692|5709.2|7235.5390625|6046.0|7859.0|memory|220|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_65.py
True|3023.183926757799|5682.144000000019|5918.2|7241.6953125|6039.0|7859.0|memory|230|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_65.py
True|3115.9375074869736|5875.178666666687|6151.6|7243.31640625|6092.0|7859.0|memory|240|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_65.py
True|3172.6353802083354|5859.932000000009|6225.2|7247.3984375|6083.0|7859.0|memory|256|imagenet|squeezenet|/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/squeezenet_65.py
