passed|latency|params
True|57.088629404703774|{'test_var': 'latency', 'bs': 2, 'dataset': 'imagenet', 'net_name': 'resnet18', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_75.py'}
True|82.3954340616862|{'test_var': 'latency', 'bs': 4, 'dataset': 'imagenet', 'net_name': 'resnet18', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_75.py'}
True|132.40726216634116|{'test_var': 'latency', 'bs': 8, 'dataset': 'imagenet', 'net_name': 'resnet18', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_75.py'}
True|170.14610290527344|{'test_var': 'latency', 'bs': 16, 'dataset': 'imagenet', 'net_name': 'resnet18', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_75.py'}
True|315.2274169921875|{'test_var': 'latency', 'bs': 32, 'dataset': 'imagenet', 'net_name': 'resnet18', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_75.py'}
True|624.5545654296875|{'test_var': 'latency', 'bs': 64, 'dataset': 'imagenet', 'net_name': 'resnet18', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_75.py'}
True|726.0154418945312|{'test_var': 'latency', 'bs': 70, 'dataset': 'imagenet', 'net_name': 'resnet18', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_75.py'}
True|780.9510904947916|{'test_var': 'latency', 'bs': 80, 'dataset': 'imagenet', 'net_name': 'resnet18', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_75.py'}
True|896.6590779622396|{'test_var': 'latency', 'bs': 90, 'dataset': 'imagenet', 'net_name': 'resnet18', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_75.py'}
True|1024.345703125|{'test_var': 'latency', 'bs': 100, 'dataset': 'imagenet', 'net_name': 'resnet18', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_75.py'}
True|1068.6680501302083|{'test_var': 'latency', 'bs': 110, 'dataset': 'imagenet', 'net_name': 'resnet18', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_75.py'}
True|1158.329345703125|{'test_var': 'latency', 'bs': 120, 'dataset': 'imagenet', 'net_name': 'resnet18', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_75.py'}
True|1241.1458740234375|{'test_var': 'latency', 'bs': 128, 'dataset': 'imagenet', 'net_name': 'resnet18', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_75.py'}
True|1349.8939615885417|{'test_var': 'latency', 'bs': 140, 'dataset': 'imagenet', 'net_name': 'resnet18', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_75.py'}
True|1433.6784261067708|{'test_var': 'latency', 'bs': 150, 'dataset': 'imagenet', 'net_name': 'resnet18', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_75.py'}
True|1488.6635335286458|{'test_var': 'latency', 'bs': 160, 'dataset': 'imagenet', 'net_name': 'resnet18', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_75.py'}
True|1650.4455159505208|{'test_var': 'latency', 'bs': 170, 'dataset': 'imagenet', 'net_name': 'resnet18', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_75.py'}
True|1739.2054443359375|{'test_var': 'latency', 'bs': 180, 'dataset': 'imagenet', 'net_name': 'resnet18', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_75.py'}
True|2040.6128743489583|{'test_var': 'latency', 'bs': 200, 'dataset': 'imagenet', 'net_name': 'resnet18', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_75.py'}
True|2187.8709309895835|{'test_var': 'latency', 'bs': 220, 'dataset': 'imagenet', 'net_name': 'resnet18', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_75.py'}
True|2320.40380859375|{'test_var': 'latency', 'bs': 230, 'dataset': 'imagenet', 'net_name': 'resnet18', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_75.py'}
True|2423.2625325520835|{'test_var': 'latency', 'bs': 240, 'dataset': 'imagenet', 'net_name': 'resnet18', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_75.py'}
True|2485.0702311197915|{'test_var': 'latency', 'bs': 256, 'dataset': 'imagenet', 'net_name': 'resnet18', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_75.py'}
True|2471.6016438802085|{'test_var': 'latency', 'bs': 256, 'dataset': 'imagenet', 'net_name': 'resnet18', 'model': '/home/nvidia/ar4414/pytorch_training/src/ar4414/memory_model/models/pruned/imagenet/random_pruning/resnet18_75.py'}
